wavelength,kabs,ksca,gsca,kext,Av
774.29933,1.0404726,0.002273886,0.0017370167,1.042746486,8.67245478770645E-05
775.83481,1.0371233,0.0022560379,0.001731211,1.0393793379,8.64445043568722E-05
777.37333,1.0337681,0.0022382898,0.0017253837,1.0360063898,8.61639784544475E-05
778.91491,1.0304249,0.002220664,0.001719597,1.032645564,8.58844607558392E-05
780.45954,1.0270887,0.0022031398,0.0017137864,1.0292918398,8.56055336926898E-05
782.00724,1.0237467,0.0021856678,0.0017079701,1.0259323678,8.53261285887481E-05
783.558,1.0204116,0.0021683718,0.0017021912,1.0225799718,8.50473119911299E-05
785.11184,1.0170965,0.0021511595,0.0016964042,1.0192476595,8.47701657417944E-05
786.66877,1.0137668,0.002134049,0.0016906724,1.015900849,8.44918136865828E-05
788.22878,1.0104544,0.0021170234,0.0016848875,1.0125714234,8.42149075222111E-05
789.79188,1.0071318,0.0021001323,0.001679191,1.0092319323,8.3937164216743E-05
791.35808,1.0039695,0.0020843614,0.0016738155,1.0060538614,8.36728461244509E-05
792.92739,1.0006596,0.0020676395,0.0016681219,1.0027272395,8.3396173141987E-05
794.49981,0.99736549,0.0020510399,0.0016624002,0.9994165299,8.31208235751774E-05
796.07535,0.9942055,0.0020355595,0.0016571216,0.9962410595,8.28567217647811E-05
797.65401,0.99095799,0.0020191201,0.0016513406,0.9929771101,8.25852612134303E-05
799.23581,0.98782287,0.0020027918,0.0016453994,0.9898256618,8.23231573054864E-05
800.82074,0.98485519,0.0019875428,0.0016398794,0.9868427328,8.2075069038254E-05
802.40881,0.98173669,0.0019714336,0.0016340245,0.9837081236,8.18143656273184E-05
804.00003,0.97877041,0.0019563646,0.0016285119,0.9807267746,8.15664087676597E-05
805.59441,0.97567577,0.0019404231,0.0016226016,0.9776161931,8.13077037249248E-05
807.19195,0.97269868,0.0019255721,0.0016171577,0.9746242521,8.10588659355066E-05
808.79266,0.96974454,0.001910788,0.0016117086,0.971655328,8.08119424467097E-05
810.39654,0.96665835,0.0018951099,0.0016058011,0.9685534599,8.05539620917927E-05
812.0036,0.9637028,0.0018804995,0.0016003844,0.9655832995,8.03069357807279E-05
813.61385,0.96075367,0.0018659963,0.0015949593,0.9626196663,8.0060452332647E-05
815.2273,0.95766755,0.0018506035,0.0015890631,0.9595181535,0.0000798025015278002
816.84394,0.95473025,0.0018362445,0.0015836495,0.9565664945,7.9557013966155E-05
818.46379,0.9517971,0.0018219892,0.0015782457,0.9536190892,7.93118801819755E-05
820.08685,0.94886923,0.0018077925,0.0015728306,0.9506770225,7.90671904056902E-05
821.71313,0.94579244,0.001792773,0.0015670384,0.947585213,7.88100466180011E-05
823.34263,0.94287597,0.0017787559,0.0015616739,0.9446547259,7.85663199095257E-05
824.97537,0.93994764,0.0017648407,0.0015562816,0.9417124807,7.83216152875113E-05
826.61134,0.93702171,0.0017509962,0.0015509144,0.9387727062,7.8077116152011E-05
828.25056,0.93411357,0.0017372545,0.0015455714,0.9358508245,7.78341051490636E-05
