wavelength,Acoff,Scoff,Av
766.66739,1.0573207,0.0023646657,0.000491456251698019
768.18774,1.0539385,0.0023463172,0.000489884161664699
769.7111,1.050562,0.002328036,0.000488314721064645
771.23748,1.0472037,0.002309877,0.000486753740058525
772.76689,1.0438363,0.0022918257,0.000485188529255437
774.29933,1.0404726,0.002273886,0.000483625038259908
775.83481,1.0371233,0.0022560379,0.00048206824056947
777.37333,1.0337681,0.0022382898,0.000480508700483196
778.91491,1.0304249,0.002220664,0.000478954738151165
780.45954,1.0270887,0.0022031398,0.000477404029509109
782.00724,1.0237467,0.0021856678,0.000475850624952502
783.558,1.0204116,0.0021683718,0.000474300427604585
785.11184,1.0170965,0.0021511595,0.000472759526513739
786.66877,1.0137668,0.002134049,0.00047121183915523
788.22878,1.0104544,0.0021170234,0.000469672193059089
789.79188,1.0071318,0.0021001323,0.000468127805871841
791.35808,1.0039695,0.0020843614,0.00046665792818502
792.92739,1.0006596,0.0020676395,0.000465119444121012
794.49981,0.99736549,0.0020510399,0.000463588299451962
796.07535,0.9942055,0.0020355595,0.000462119495482833
797.65401,0.99095799,0.0020191201,0.000460610011092759
799.23581,0.98782287,0.0020027918,0.000459152767019297
800.82074,0.98485519,0.0019875428,0.000457773351210036
802.40881,0.98173669,0.0019714336,0.0004563238323262
804.00003,0.97877041,0.0019563646,0.000454945067254934
805.59441,0.97567577,0.0019404231,0.000453506638805784
807.19195,0.97269868,0.0019255721,0.000452122849107571
808.79266,0.96974454,0.001910788,0.000450749726864347
810.39654,0.96665835,0.0018951099,0.00044931522608381
812.0036,0.9637028,0.0018804995,0.000447941448454462
813.61385,0.96075367,0.0018659963,0.000446570654923635
815.2273,0.95766755,0.0018506035,0.000445136186679998
816.84394,0.95473025,0.0018362445,0.000443770891885228
818.46379,0.9517971,0.0018219892,0.0004424075260638
820.08685,0.94886923,0.0018077925,0.000441046614454239
821.71313,0.94579244,0.001792773,0.000439616482914525
823.34263,0.94287597,0.0017787559,0.000438260870171495
824.97537,0.93994764,0.0017648407,0.000436899744748022
826.61134,0.93702171,0.0017509962,0.000435539734875396
828.25056,0.93411357,0.0017372545,0.000434187994023436
829.89303,0.9312007,0.0017235934,0.000432834054606679
831.53875,0.92829917,0.0017099773,0.000431485386167681
833.18774,0.92539472,0.0016964481,0.00043013536047515
834.84,0.92248727,0.0016830452,0.000428783940344059
836.49554,0.91959302,0.0016696539,0.000427438655742635
838.15436,0.91669816,0.001656391,0.00042609308760537
839.81646,0.91394107,0.0016440755,0.000424811556734941
841.48187,0.91105749,0.0016309508,0.000423471231686664
843.15058,0.90816576,0.0016178859,0.000422127118413631
844.82259,0.90528941,0.0016049539,0.000420790153962286
846.49792,0.90254609,0.0015929075,0.00041951502356485
848.17658,0.89967818,0.0015801125,0.000418181982133988
849.85856,0.89680995,0.0015673482,0.000416848791963014
851.54388,0.89407653,0.0015555241,0.000415578263212828
853.23254,0.89121558,0.0015429629,0.000414248456879428
854.92455,0.88836103,0.0015304643,0.00041292162534829
856.61991,0.88563645,0.0015188324,0.00041165520554373
858.31864,0.88279019,0.0015064719,0.000410332227311148
860.02073,0.88005927,0.0014950057,0.000409062860593097
861.72621,0.8772196,0.0014827749,0.00040774294547722
863.43506,0.87451066,0.001471441,0.000406483795345689
865.1473,0.87180252,0.0014601693,0.000405225017064442
866.86294,0.86896909,0.0014481798,0.000403908002380771
868.58197,0.866271,0.0014370362,0.000402653895468702
870.30442,0.86359303,0.0014259612,0.000401409140591247
872.03029,0.86076475,0.0014141863,0.000400094519693772
873.75957,0.85807346,0.0014032397,0.000398843573509107
875.49229,0.85537784,0.0013923617,0.000397590614684786
877.22844,0.85269259,0.001381558,0.000396342475969756
878.96803,0.84988595,0.00137003,0.000395037913622433
880.71108,0.84722248,0.0013593575,0.000393799898531354
882.45758,0.84454788,0.0013487444,0.000392556710073215
884.20754,0.84187818,0.001338185,0.000391315799198058
885.96098,0.83921266,0.0013276875,0.00039007683124063
887.71789,0.8365439,0.0013172678,0.000388836357289555
889.47828,0.83389062,0.0013069013,0.000387603078641454
891.24217,0.83123229,0.001296594,0.000386367452688443
893.00956,0.8285691,0.0012863337,0.000385129567744963
894.78044,0.82592279,0.0012761702,0.000383899528842451
896.55485,0.82329067,0.001266023,0.000382676085634331
898.33277,0.82064916,0.0012559835,0.000381448277833517
900.11421,0.81805561,0.0012459793,0.000380242762457159
901.89919,0.81579328,0.0012367418,0.000379191202394158
903.68771,0.81342377,0.0012268467,0.000378089823689512
905.47977,0.81104223,0.0012169846,0.000376982853286238
907.27539,0.80866154,0.0012072267,0.00037587627797389
909.07457,0.80641043,0.0011982047,0.000374829933111106
910.87732,0.80403569,0.0011885286,0.000373726123435237
912.68364,0.80167582,0.0011789184,0.000372629225526499
914.49354,0.79942598,0.0011700684,0.00037158347097604
916.30704,0.7970614,0.0011605616,0.000370484383798762
918.12413,0.79483475,0.0011518172,0.000369449408258376
